model,fold,test_subject,test_samples,accuracy,macro_precision,macro_recall,macro_f1
Gradient Boosting,3,S13,145,0.896551724137931,0.9285403050108932,0.839105339105339,0.8724989046297648
Gradient Boosting,12,S6,143,0.8741258741258742,0.8391921955533447,0.8861832611832612,0.8534730989092044
Gradient Boosting,2,S11,144,0.8819444444444444,0.9068825910931174,0.7841144362883493,0.7962086127967636
Gradient Boosting,11,S5,144,0.7222222222222222,0.6814298818942781,0.7232905982905983,0.687495021903624
Gradient Boosting,14,S8,142,0.6619718309859155,0.7682539682539683,0.7827417380660955,0.6751224247053255
Gradient Boosting,6,S16,143,0.8391608391608392,0.5850168350168351,0.6666666666666666,0.6211685823754789
Gradient Boosting,7,S17,149,0.8187919463087249,0.5662585034013605,0.6510274595380978,0.6040886392009988
Gradient Boosting,4,S14,145,0.7931034482758621,0.5315315315315315,0.6406926406926406,0.5684073904412887
Gradient Boosting,13,S7,143,0.5174825174825175,0.7005983116138021,0.6858974358974358,0.5231723585393647
Gradient Boosting,5,S15,145,0.6482758620689655,0.5747799779977998,0.47467146380189856,0.48770627798248745
Gradient Boosting,15,S9,143,0.7062937062937062,0.4662257495590829,0.5195360195360196,0.483777870874645
Gradient Boosting,8,S2,137,0.49635036496350365,0.5,0.5702564102564103,0.46487440737275504
Gradient Boosting,1,S10,149,0.38926174496644295,0.5619831223628692,0.3591107474086197,0.39976467782446984
Gradient Boosting,9,S3,138,0.5217391304347826,0.3493265993265993,0.4475939353988134,0.38154235145385584
Gradient Boosting,10,S4,141,0.5390070921985816,0.17966903073286053,0.3333333333333333,0.2334869431643625
